method,pseudopotential,system,basis,BE,BEerr,SHCIBE
HF,trail,ScO,vdz,0.12172404959283512,0.0,0.2419399999999996
HF,trail,TiO,vdz,0.09832516720311446,0.0,0.23945000000000505
HF,trail,VO,vdz,0.05405374506811711,0.0,0.22684999999999889
HF,trail,CrO,vdz,-0.030719534233853096,0.0,0.1650899999999922
HF,trail,MnO,vdz,-0.033206486106081456,0.0,0.12700000000000955
HF,trail,FeO,vdz,-0.02686270165062865,0.0,0.13661999999999352
HF,trail,CuO,vdz,0.023529224891518652,0.0,0.1048799999999801
HF,trail,ScO,vtz,0.12449059745495106,0.0,0.2508100000000084
HF,trail,TiO,vtz,0.10101976034778204,0.0,0.24920000000000186
HF,trail,VO,vtz,0.058042309509218626,0.0,0.23925999999998737
HF,trail,CrO,vtz,-0.026423901489579293,0.0,0.17072999999999183
HF,trail,MnO,vtz,-0.02972925238219659,0.0,0.13859999999999673
HF,trail,FeO,vtz,-0.023112779828124985,0.0,0.1512400000000298
HF,trail,CuO,vtz,0.02559422649940757,0.0,0.10611999999997579
HF,trail,ScO,vqz,0.1252828333113314,0.0,0.25536381000000574
HF,trail,TiO,vqz,0.10172927479135296,0.0,0.25339785999999265
HF,trail,VO,vqz,0.05916077483028914,0.0,0.24381173599999784
HF,trail,CrO,vqz,-0.024739012061075982,0.0,0.17305600000001675
HF,trail,MnO,vqz,-0.0288445050862407,0.0,0.14297125940001365
HF,trail,FeO,vqz,-0.02233514451108931,0.0,0.155512200000004
HF,trail,CuO,vqz,0.025957349155106613,0.0,0.10873419999998646
HF,trail,ScO,v5z,0.1254097404938932,0.0,0.25684096089999997
HF,trail,TiO,v5z,0.10189051457676612,0.0,0.2544431052000107
HF,trail,VO,v5z,0.05935875600796692,0.0,0.24439381719999176
HF,trail,CrO,v5z,-0.024355337871796223,0.0,0.17424681640000017
HF,trail,MnO,v5z,-0.028698545809135112,0.0,0.1437744293000094
HF,trail,FeO,v5z,-0.022197028447124012,0.0,0.15671194910001418
HF,trail,CuO,v5z,0.026046949328815572,0.0,0.10987829589996068
CISD,trail,ScO,vdz,0.19286502471070577,0.0,0.2419399999999996
CISD,trail,TiO,vdz,0.18126742252636063,0.0,0.23945000000000505
CISD,trail,VO,vdz,0.1424679022472759,0.0,0.22684999999999889
CISD,trail,CrO,vdz,0.06306984524567838,0.0,0.1650899999999922
CISD,trail,MnO,vdz,0.059233503284886524,0.0,0.12700000000000955
CISD,trail,FeO,vdz,0.05458468022501961,0.0,0.13661999999999352
CISD,trail,CuO,vdz,0.048505772938909786,0.0,0.1048799999999801
CISD,trail,ScO,vtz,0.1915980474222465,0.0,0.2508100000000084
CISD,trail,TiO,vtz,0.17902455481277002,0.0,0.24920000000000186
CISD,trail,VO,vtz,0.1389009884105974,0.0,0.23925999999998737
CISD,trail,CrO,vtz,0.05560299135115088,0.0,0.17072999999999183
CISD,trail,MnO,vtz,0.05709208423765233,0.0,0.13859999999999673
CISD,trail,FeO,vtz,0.05314136873988673,0.0,0.1512400000000298
CISD,trail,CuO,vtz,0.040052591581371644,0.0,0.10611999999997579
CISD,trail,ScO,vqz,0.19351644903615295,0.0,0.25536381000000574
CISD,trail,TiO,vqz,0.18004160547363313,0.0,0.25339785999999265
CISD,trail,VO,vqz,0.13925349337432635,0.0,0.24381173599999784
CISD,trail,CrO,vqz,0.05409056910194465,0.0,0.17305600000001675
CISD,trail,MnO,vqz,0.05719758737278369,0.0,0.14297125940001365
CISD,trail,FeO,vqz,0.05266611839940083,0.0,0.155512200000004
CISD,trail,CuO,vqz,0.03851223841419937,0.0,0.10873419999998646
CISD,trail,ScO,v5z,0.19381473997850662,0.0,0.25684096089999997
CISD,trail,TiO,v5z,0.1801728884410494,0.0,0.2544431052000107
CISD,trail,VO,v5z,0.13900505094477467,0.0,0.24439381719999176
CISD,trail,CrO,v5z,0.05320051048279595,0.0,0.17424681640000017
CISD,trail,MnO,v5z,0.056890459936340676,0.0,0.1437744293000094
CISD,trail,FeO,v5z,0.05204057373006776,0.0,0.15671194910001418
CISD,trail,CuO,v5z,0.037657823303476334,0.0,0.10987829589996068
UCCSD,trail,MnO,v5z,0.11877194703937732,0.0,0.1437744293000094
UCCSD(T),trail,MnO,v5z,0.14097824614830756,0.0,0.1437744293000094
UCCSD,trail,TiO,vqz,0.22576539338605528,0.0,0.25339785999999265
UCCSD(T),trail,TiO,vqz,0.25258210128906455,0.0,0.25339785999999265
UCCSD,trail,ScO,vdz,0.22300216989827248,0.0,0.2419399999999996
UCCSD(T),trail,ScO,vdz,0.2408068215829573,0.0,0.2419399999999996
UCCSD,trail,CrO,vdz,0.13371819621377767,0.0,0.1650899999999922
UCCSD(T),trail,CrO,vdz,0.16119878945625032,0.0,0.1650899999999922
