Number-of-determinants,Unnamed: 0,Unnamed: 0.1,basis,basisindex,beta,charge,dmrg(var),index,method,ncas,ncore,note,pseudopotential,pyscf-version.1,system,systype,totalenergy,totalenergy-stocherr,totalenergy-syserr,trial-wavefunction,truncation-weight,SHCIref,SHCIreferr,HFref,HFreferr
,,,vdz,0,,0,,0.0,HF,,,,trail,,O,atom,-15.650898615762124,0.0,0.0,,,-15.78125,0.0,-15.650898615762124,0.0
,,,vdz,0,,1,,1.0,HF,,,,trail,,O,atom,-15.209469738930444,0.0,0.0,,,-15.300670000000002,0.0,-15.209469738930444,0.0
,,,vdz,0,,0,,2.0,HF,,,,trail,,Sc,atom,-46.056720086471316,0.0,0.0,,,-46.39685,5.4e-08,-46.056720086471316,0.0
,,,vdz,0,,1,,3.0,HF,,,,trail,,Sc,atom,-45.85651158235275,0.0,0.0,,,-46.15683,0.0,-45.85651158235275,0.0
,,,vdz,0,,0,,4.0,HF,,,,trail,,Ti,atom,-57.52051227493378,0.0,0.0,,,-57.88305,2.26e-07,-57.52051227493378,0.0
,,,vdz,0,,1,,5.0,HF,,,,trail,,Ti,atom,-57.31379021206569,0.0,0.0,,,-57.63401999999999,1.1000000000000001e-08,-57.31379021206569,0.0
,,,vdz,0,,0,,6.0,HF,,,,trail,,V,atom,-70.69525960473436,0.0,0.0,,,-71.07767,3.2600000000000003e-07,-70.69525960473436,0.0
,,,vdz,0,,1,,7.0,HF,,,,trail,,V,atom,-70.47804713713508,0.0,0.0,,,-70.8284,3.2e-08,-70.47804713713508,0.0
,,,vdz,0,,0,,8.0,HF,,,,trail,,Cr,atom,-86.21795636713652,0.0,0.0,,,-86.61203,1.24e-07,-86.21795636713652,0.0
,,,vdz,0,,1,,9.0,HF,,,,trail,,Cr,atom,-85.99840800159254,0.0,0.0,,,-86.37241,4.5999999999999995e-08,-85.99840800159254,0.0
,,,vdz,0,,0,,10.0,HF,,,,trail,,Mn,atom,-103.51554736964935,0.0,0.0,,,-103.94226,4.56e-07,-103.51554736964935,0.0
,,,vdz,0,,1,,11.0,HF,,,,trail,,Mn,atom,-103.29335920887651,0.0,0.0,,,-103.67336,4.2e-08,-103.29335920887651,0.0
,,,vdz,0,,0,,12.0,HF,,,,trail,,Fe,atom,-123.03606101031244,0.0,0.0,,,-123.51812,6.459999999999999e-07,-123.03606101031244,0.0
,,,vdz,0,,1,,13.0,HF,,,,trail,,Fe,atom,-122.79860715251272,0.0,0.0,,,-123.23353999999999,1.2e-07,-122.79860715251272,0.0
,,,vdz,0,,0,,14.0,HF,,,,trail,,Cu,atom,-196.56440183256336,0.0,0.0,,,-197.2369,1.152e-06,-196.56440183256336,0.0
,,,vdz,0,,1,,15.0,HF,,,,trail,,Cu,atom,-196.32402730647453,0.0,0.0,,,-196.96723,1.474e-06,-196.32402730647453,0.0
,,,vtz,1,,0,,16.0,HF,,,,trail,,O,atom,-15.65178729066239,0.0,0.0,,,-15.827020000000001,0.0,-15.65178729066239,0.0
,,,vtz,1,,1,,17.0,HF,,,,trail,,O,atom,-15.210120374674373,0.0,0.0,,,-15.33358,0.0,-15.210120374674373,0.0
,,,vtz,1,,0,,18.0,HF,,,,trail,,Sc,atom,-46.05746799644578,0.0,0.0,,,-46.4523,8.800000000000001e-08,-46.05746799644578,0.0
,,,vtz,1,,1,,19.0,HF,,,,trail,,Sc,atom,-45.85935928101564,0.0,0.0,,,-46.211490000000005,0.0,-45.85935928101564,0.0
,,,vtz,1,,0,,20.0,HF,,,,trail,,Ti,atom,-57.522468837232104,0.0,0.0,,,-57.95463,3.6700000000000004e-07,-57.522468837232104,0.0
,,,vtz,1,,1,,21.0,HF,,,,trail,,Ti,atom,-57.318310870851406,0.0,0.0,,,-57.704240000000006,5.7e-08,-57.318310870851406,0.0
,,,vtz,1,,0,,22.0,HF,,,,trail,,V,atom,-70.69687058820543,0.0,0.0,,,-71.16898,1.017e-06,-70.69687058820543,0.0
,,,vtz,1,,1,,23.0,HF,,,,trail,,V,atom,-70.47870620861032,0.0,0.0,,,-70.91955,1.62e-07,-70.47870620861032,0.0
,,,vtz,1,,0,,24.0,HF,,,,trail,,Cr,atom,-86.21884242573502,0.0,0.0,,,-86.72091999999999,4.48e-07,-86.21884242573502,0.0
,,,vtz,1,,1,,25.0,HF,,,,trail,,Cr,atom,-85.99858355154308,0.0,0.0,,,-86.47298,2.01e-07,-85.99858355154308,0.0
,,,vtz,1,,0,,26.0,HF,,,,trail,,Mn,atom,-103.51751723050371,0.0,0.0,,,-104.06366,9.9e-07,-103.51751723050371,0.0
,,,vtz,1,,1,,27.0,HF,,,,trail,,Mn,atom,-103.29880070636771,0.0,0.0,,,-103.79214,1.99e-07,-103.29880070636771,0.0
,,,vtz,1,,0,,28.0,HF,,,,trail,,Fe,atom,-123.03857246947872,0.0,0.0,,,-123.6572,5.71e-07,-123.03857246947872,0.0
,,,vtz,1,,1,,29.0,HF,,,,trail,,Fe,atom,-122.80424852863449,0.0,0.0,,,-123.36856999999999,5.41e-07,-122.80424852863449,0.0
,,,vtz,1,,0,,30.0,HF,,,,trail,,Cu,atom,-196.56611793957046,0.0,0.0,,,-197.44464,4.5899999999999997e-07,-196.56611793957046,0.0
,,,vtz,1,,1,,31.0,HF,,,,trail,,Cu,atom,-196.32520712735686,0.0,0.0,,,-197.16304,6.5e-07,-196.32520712735686,0.0
,,,vqz,2,,0,,32.0,HF,,,,trail,,O,atom,-15.651914835093455,0.0,0.0,,,-15.839089999999999,5.31e-06,-15.651914835093455,0.0
,,,vqz,2,,1,,33.0,HF,,,,trail,,O,atom,-15.210758359146777,0.0,0.0,,,-15.3421,0.0,-15.210758359146777,0.0
,,,vqz,2,,0,,34.0,HF,,,,trail,,Sc,atom,-46.057726629346845,0.0,0.0,,,-46.474,1.07e-06,-46.057726629346845,0.0
,,,vqz,2,,1,,35.0,HF,,,,trail,,Sc,atom,-45.859964744612796,0.0,0.0,,,-46.233109999999996,9.940000000000001e-07,-45.859964744612796,0.0
,,,vqz,2,,0,,36.0,HF,,,,trail,,Ti,atom,-57.52332478221496,0.0,0.0,,,-57.983,2.24e-06,-57.52332478221496,0.0
,,,vqz,2,,1,,37.0,HF,,,,trail,,Ti,atom,-57.319727268097715,0.0,0.0,,,-57.73256,7.33e-07,-57.319727268097715,0.0
,,,vqz,2,,0,,38.0,HF,,,,trail,,V,atom,-70.69711953301085,0.0,0.0,,,-71.20578,1e-05,-70.69711953301085,0.0
,,,vqz,2,,1,,39.0,HF,,,,trail,,V,atom,-70.47878254097698,0.0,0.0,,,-70.95759,8.42e-07,-70.47878254097698,0.0
,,,vqz,2,,0,,40.0,HF,,,,trail,,Cr,atom,-86.21909581115591,0.0,0.0,,,-86.76760999999999,0.0,-86.21909581115591,0.0
,,,vqz,2,,1,,41.0,HF,,,,trail,,Cr,atom,-85.99861621753384,0.0,0.0,,,-86.51867,1.764e-06,-85.99861621753384,0.0
,,,vqz,2,,0,,42.0,HF,,,,trail,,Mn,atom,-103.51774137665831,0.0,0.0,,,-104.11501,3.37e-06,-103.51774137665831,0.0
,,,vqz,2,,1,,43.0,HF,,,,trail,,Mn,atom,-103.29943473113407,0.0,0.0,,,-103.84272,2.375e-06,-103.29943473113407,0.0
,,,vqz,2,,0,,44.0,HF,,,,trail,,Fe,atom,-123.03893433543683,0.0,0.0,,,-123.71675,1.63e-05,-123.03893433543683,0.0
,,,vqz,2,,1,,45.0,HF,,,,trail,,Fe,atom,-122.80506201856676,0.0,0.0,,,-123.42708999999999,3.122e-06,-122.80506201856676,0.0
,,,vqz,2,,0,,46.0,HF,,,,trail,,Cu,atom,-196.5663491464669,0.0,0.0,,,-197.53642,1.98e-05,-196.5663491464669,0.0
,,,vqz,2,,1,,47.0,HF,,,,trail,,Cu,atom,-196.32534219464927,0.0,0.0,,,-197.25343,3.0119999999999997e-06,-196.32534219464927,0.0
,,,v5z,3,,0,,48.0,HF,,,,trail,,O,atom,-15.651935198107855,0.0,0.0,,,-15.84317,0.0,-15.651935198107855,0.0
,,,v5z,3,,1,,49.0,HF,,,,trail,,O,atom,-15.210911583355957,0.0,0.0,,,-15.34479,0.0,-15.210911583355957,0.0
