method,pseudopotential,system,basis,IP,IPerr,SHCIIP
HF,trail,Sc,vdz,0.20020850411856372,0.0,0.24002000000000123
HF,trail,Ti,vdz,0.20672206286808859,0.0,0.24903000000000475
HF,trail,V,vdz,0.21721246759928192,0.0,0.24926999999999566
HF,trail,Cr,vdz,0.21954836554398582,0.0,0.23962000000000216
HF,trail,Mn,vdz,0.22218816077284487,0.0,0.26890000000000214
HF,trail,Fe,vdz,0.2374538577997214,0.0,0.2845800000000054
HF,trail,Cu,vdz,0.2403745260888286,0.0,0.26966999999999075
HF,trail,Sc,vtz,0.19810871543013775,0.0,0.2408099999999962
HF,trail,Ti,vtz,0.2041579663806985,0.0,0.2503899999999959
HF,trail,V,vtz,0.21816437959510893,0.0,0.24943000000000382
HF,trail,Cr,vtz,0.22025887419194135,0.0,0.24793999999998562
HF,trail,Mn,vtz,0.21871652413599918,0.0,0.2715199999999953
HF,trail,Fe,vtz,0.23432394084423436,0.0,0.28863000000001193
HF,trail,Cu,vtz,0.240910812213599,0.0,0.2815999999999974
HF,trail,Sc,vqz,0.19776188473404943,0.0,0.24089000000000027
HF,trail,Ti,vqz,0.20359751411724147,0.0,0.25043999999999755
HF,trail,V,vqz,0.21833699203386914,0.0,0.24819000000000813
HF,trail,Cr,vqz,0.22047959362207337,0.0,0.2489399999999904
HF,trail,Mn,vqz,0.21830664552423684,0.0,0.27228999999999814
HF,trail,Fe,vqz,0.2338723168700767,0.0,0.289660000000012
HF,trail,Cu,vqz,0.24100695181763854,0.0,0.28298999999998387
HF,trail,Sc,v5z,0.19752930494423993,0.0,0.24098000000000042
HF,trail,Ti,v5z,0.2033072112814054,0.0,0.2507000000000019
HF,trail,V,v5z,0.218243695048443,0.0,0.24801000000000784
HF,trail,Cr,v5z,0.22039901067640244,0.0,0.24904999999999688
HF,trail,Mn,v5z,0.21804709140049283,0.0,0.2725799999999907
HF,trail,Fe,v5z,0.23365112879145045,0.0,0.28996999999999673
HF,trail,Cu,v5z,0.24103528986080391,0.0,0.28356999999999744
CISD,trail,Sc,vdz,0.2241850508655716,0.0,0.24002000000000123
CISD,trail,Ti,vdz,0.23233054157363853,0.0,0.24903000000000475
CISD,trail,V,vdz,0.23373295339798972,0.0,0.24926999999999566
CISD,trail,Cr,vdz,0.234806486774346,0.0,0.23962000000000216
CISD,trail,Mn,vdz,0.2516469750364507,0.0,0.26890000000000214
CISD,trail,Fe,vdz,0.2663893847980745,0.0,0.2845800000000054
CISD,trail,Cu,vdz,0.2581592477977779,0.0,0.26966999999999075
CISD,trail,Sc,vtz,0.22329004973811095,0.0,0.2408099999999962
CISD,trail,Ti,vtz,0.23145952249148394,0.0,0.2503899999999959
CISD,trail,V,vtz,0.2321143588251715,0.0,0.24943000000000382
CISD,trail,Cr,vtz,0.2395786577648238,0.0,0.24793999999998562
CISD,trail,Mn,vtz,0.2507984683299753,0.0,0.2715199999999953
CISD,trail,Fe,vtz,0.26650315886175235,0.0,0.28863000000001193
CISD,trail,Cu,vtz,0.26506736829389865,0.0,0.2815999999999974
CISD,trail,Sc,vqz,0.22287845534614803,0.0,0.24089000000000027
CISD,trail,Ti,vqz,0.2308974806144377,0.0,0.25043999999999755
CISD,trail,V,vqz,0.23044945280175,0.0,0.24819000000000813
CISD,trail,Cr,vqz,0.23974174112284174,0.0,0.2489399999999904
CISD,trail,Mn,vqz,0.25040275819226565,0.0,0.27228999999999814
